what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1348651479500
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348651479551
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1348651481901
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1348651484275
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1348651484276
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1348651486696
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348651492785
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348651572973
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348651580068
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348651590088
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1348651590120
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1348651590120
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348651593917
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348651620104
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.newWizard",1348651620146
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348651624328
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348651698797
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348651700849
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348651718376
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1348651723902
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348651723974
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1348651724146
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1348651724343
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348651724400
started,bundle,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit",1348651724585
