what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1349012765561
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349012773567
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349012777656
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349012815882
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349012815979
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349012817903
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349012837153
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1349012841100
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349012857242
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349012857307
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349012871845
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349012871938
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349012889901
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349012889979
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349012911506
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349012918216
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349012919573
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349012920096
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349012920739
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349012961282
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349012971654
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349012986046
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349012988749
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349013138259
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349013165455
