what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349610236046
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349610236793
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349610237402
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349610354512
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349610378804
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1349610510213
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1349610514155
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349611024917
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349611026742
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349611028348
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349611029048
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349611094762
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349611115771
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349611115835
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349611116995
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349611173911
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349611329021
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349611349821
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349611358716
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349611363584
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349611514547
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349611517565
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1349611627074
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1349611629675
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349611653955
