what,kind,bundleId,bundleVersion,description,time
java.vendor,sysinfo,,,"Apple Inc.",1349121230808
java.version,sysinfo,,,"1.6.0_22",1349121230808
java.vm.info,sysinfo,,,"mixed mode",1349121230808
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1349121230808
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1349121230808
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1349121230808
java.vm.specification.version,sysinfo,,,"1.0",1349121230808
java.vm.vendor,sysinfo,,,"Apple Inc.",1349121230808
java.vm.version,sysinfo,,,"17.1-b03-307",1349121230808
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1349121231928
started,bundle,org.eclipse.jst.servlet.ui,1.1.301.v200908101600,"org.eclipse.jst.servlet.ui",1349121232828
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349121251535
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349121251608
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1349121253694
started,bundle,org.eclipse.wst.server.core,1.1.102.v20090825,"org.eclipse.wst.server.core",1349121253771
started,bundle,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.ui",1349121253782
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1349121253815
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1349121253861
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349121254590
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349121275757
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349121282846
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349121283212
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349121284032
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349121309739
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349121312540
