what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349606238754
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349606239315
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1349606240796
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349606257319
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349606258827
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349606263754
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349606264023
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349606264595
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1349606266018
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349606278200
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349606279808
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349606285942
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349606286232
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349606286772
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1349606288201
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349606501063
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349606506353
opened,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.AllMarkersView",1349606780096
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349606811100
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349606811193
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1349606818540
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349606818698
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349606873722
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349606873805
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349607081043
