what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348688396705
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348688396739
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348688490204
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.findReplace",1348688490239
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348688619112
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348688683592
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348688685199
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348688693047
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348688694730
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1348688694888
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348688697531
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348688699921
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348688750709
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348688752368
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348688753244
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348688770193
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348688770218
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348688862403
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348688928124
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348688997820
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348688999073
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348688999708
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348689000623
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348689003240
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348689004608
