what,kind,bundleId,bundleVersion,description,time
java.vendor,sysinfo,,,"Apple Inc.",1349208553234
java.version,sysinfo,,,"1.6.0_22",1349208553234
java.vm.info,sysinfo,,,"mixed mode",1349208553234
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1349208553234
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1349208553234
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1349208553234
java.vm.specification.version,sysinfo,,,"1.0",1349208553234
java.vm.vendor,sysinfo,,,"Apple Inc.",1349208553234
java.vm.version,sysinfo,,,"17.1-b03-307",1349208553234
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349208560183
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349208567931
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349208568100
started,bundle,org.eclipse.jst.servlet.ui,1.1.301.v200908101600,"org.eclipse.jst.servlet.ui",1349208568784
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349208570100
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349208570170
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1349208577005
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1349208582957
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.refresh",1349208587302
started,bundle,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit",1349208588774
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1349208590070
started,bundle,org.eclipse.wst.server.core,1.1.102.v20090825,"org.eclipse.wst.server.core",1349208590607
started,bundle,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.ui",1349208590622
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1349208590650
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1349208590696
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349208591312
