what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui",1349198253090
started,bundle,org.eclipse.wst.sse.core,1.1.401.v200909172215,"org.eclipse.wst.sse.core",1349198253112
started,bundle,org.eclipse.wst.validation,1.2.102.v200905201610,"org.eclipse.wst.validation",1349198253127
started,bundle,org.eclipse.wst.web,1.1.301.v200909021400,"org.eclipse.wst.web",1349198253136
started,bundle,org.eclipse.wst.xml.core,1.1.401.v200908242115,"org.eclipse.wst.xml.core",1349198253166
os,sysinfo,,,"macosx",1349198253170
arch,sysinfo,,,"x86",1349198253170
ws,sysinfo,,,"cocoa",1349198253170
locale,sysinfo,,,"en_US",1349198253170
processors,sysinfo,,,"2",1349198253170
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1349198253170
java.runtime.version,sysinfo,,,"1.6.0_22-b04-307-10M3811",1349198253170
java.specification.name,sysinfo,,,"Java Platform API Specification",1349198253170
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1349198253170
java.specification.version,sysinfo,,,"1.6",1349198253170
java.vendor,sysinfo,,,"Apple Inc.",1349198253170
java.version,sysinfo,,,"1.6.0_22",1349198253170
java.vm.info,sysinfo,,,"mixed mode",1349198253170
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1349198253170
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1349198253170
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1349198253170
java.vm.specification.version,sysinfo,,,"1.0",1349198253170
java.vm.vendor,sysinfo,,,"Apple Inc.",1349198253170
java.vm.version,sysinfo,,,"17.1-b03-307",1349198253170
started,bundle,org.eclipse.mylyn.context.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.core",1349198253231
