what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348658465447
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.properties",1348658465879
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348658517583
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348658559343
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.properties",1348658559398
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348658568112
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348658572596
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348658572627
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348658572765
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1348658572799
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1348658572799
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348658584281
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348658586366
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348659476942
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348660341409
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348660357346
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1348660405759
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348660421721
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348660425341
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1348660426213
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348660428675
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348660429180
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348661497798
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348661501568
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348661532704
