what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1349608672143
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349608839098
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349608897755
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349608943447
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349608987578
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1349609199067
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1349609204814
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349609633329
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349609633767
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349609634389
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349609658336
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1349610004480
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1349610008275
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1349610044978
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1349610063552
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1349610067091
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349610110763
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349610123929
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349610182974
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349610184928
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.cleanAction",1349610184983
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349610187779
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349610188227
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349610188818
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349610225368
