what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1348689004785
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348689006104
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348689011729
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348689015086
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348689033192
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348689033217
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348689085822
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348690435885
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348690520369
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348690643475
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348690657767
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348690667189
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1348690685018
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348690685167
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348690685206
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1348690687566
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348690687646
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1348690700905
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1348690703787
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348690703904
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1348690706500
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1348690735905
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348690735995
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1348690744323
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348690744443
